성과연도,성과고유번호,성과구분,성과명,전담기관 등록(기탁)번호,저널명 OR 성과명(영문) 등,저자 OR 저작자 등,IPC OR 등록기관 등,국내외구분 OR 제조사 등,초록(국문),초록(영문),키워드,유발과제명,과제고유번호,부처명,과제수행기관,연구수행주체,6T분류,과학기술표준분류,연구개발단계,정부연구비,총연구비,당해연구시작일,당해연구종료일
2013,PTO-2013-0025739782,특허,밴드형 관을 이용한 모듈러 유닛구조체와 기초의 접합부 구조,10-2013-0084873,nan,한국건설기술연구원;,"E02D 27/02,E04B 1/21,E04B 1/61,E02D 5/34,E02D 5/28,E02D 5/12",대한민국,nan,nan,nan,탈현장 초고속 주택 건설기술 개발,1711009311,미래창조과학부,한국건설기술연구원,출연연구소,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,기타 건설/교통,개발연구,811848593,811848593,20130101,20131231
2013,PTO-2013-0025741366,특허,비전시스템의 컬러조명 제어방법,10-2013-0014766,nan,한국생산기술연구원;,"H05B 45/00,G01N 21/88",대한민국,nan,nan,nan,그린 스마트 팩토리 구축을 위한 LED 조명 통신 기술 개발(2/2),1415127124,지식경제부,한국생산기술연구원,출연연구소,청정원천공정 기술,에너지/환경기계시스템,기초연구,317399638,317399638,20120101,20121231
2013,PTO-2013-0025741308,특허,하수 슬러지 처리용 탈수기,10-2013-0009029,nan,한국생산기술연구원;,"C02F 11/125,C02F 11/122",대한민국,nan,nan,nan,하수 슬러지 처리용 탈수기 메커니즘 설계기술 지원,1415106739,지식경제부,한국생산기술연구원,출연연구소,자연환경·오염토양·지하수의 정화·복원기술,생산기반기술,개발연구,7000000,8000000,20090415,20091014
2013,PTO-2013-0025676074,특허,무선 멀티미디어 센서 네트워크에서 서비스품질 보장을 위한 다중경로 라우팅 방법,10-2013-0034690,nan,순천대학교 산학협력단;,"H04W 40/10,H04W 40/12,H04L 12/707,H04L 12/725,H04W 84/18",대한민국,nan,nan,nan,무선 멀티미디어 센서 네트워크에서 QoS 보장을 위한 트래픽 제어 시스템 연구,1345170829,교육과학기술부,순천대학교,대학,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,USN 기술,기초연구,43700000,43700000,20120501,20130430
2013,PTO-2013-0025675992,특허,3차원 네트워크 구조를 갖는 자가 조립 백금 나노 구조체 및 그 제조 방법,10-2013-0033833,nan,인텔렉추얼디스커버리 주식회사;,"B22F 9/00,B22F 9/24,B82B 3/00",대한민국,nan,nan,nan,금속 및 금속산화물 나노입자의 결정면 특이적 특성 연구와 응용 연구,1345173540,교육과학기술부,고려대학교,대학,"나노소재기술(나노분말소재, 광학용 나노소재, 고기능 시너지 소재, 촉매·환경·기능소재에 중점)",무기나노화학,기초연구,100000000,100000000,20120501,20130430
2013,PTO-2013-0025675726,특허,가공경화가 가능한 비정질 합금 기지 복합재료의 제조방법,10-2013-0166124,nan,박은수;,"B22F 3/00,C22C 45/00,C22C 1/04",대한민국,nan,nan,nan,지속가능한 고강도 고연신을 구현한 타이타늄기 하이브리드 복합재료 개발,1345169580,교육과학기술부,서울대학교,대학,"나노소재기술(나노분말소재, 광학용 나노소재, 고기능 시너지 소재, 촉매·환경·기능소재에 중점)",구조재료,기초연구,49720000,49720000,20120501,20130430
2013,PTO-2013-0025661227,특허,양자점 태양전지의 제조방법,10-2013-0139608,nan,한국기계연구원;,"H01L 31/0352,H01L 31/18,H01L 31/06",대한민국,nan,nan,nan,핫캐리어 생성 및 수집 제어 기술,1345199062,미래창조과학부,한국기계연구원,출연연구소,"나노소재기술(나노분말소재, 광학용 나노소재, 고기능 시너지 소재, 촉매·환경·기능소재에 중점)",나노화학,기초연구,370000000,370000000,20130901,20140831
2013,PTO-2013-0025675809,특허,다공판이 구비되는 열교환기,10-2013-0108961,nan,김형범;,F28F 13/06,대한민국,nan,nan,nan,융합전원 시스템 설계,1345156148,교육과학기술부,경상대학교 산학협력단,대학,기타 나노소자 및 시스템기술,바이오연료,응용연구,390000000,400000000,20110301,20120229
2013,PTO-2013-0025739700,특허,어류서식환경 실시간 경보 시스템 및 경보 방법,10-2013-0062671,nan,한국건설기술연구원;,"G08B 23/00,G08B 21/18,G01N 33/18,G08B 25/00,G06Q 50/26",대한민국,nan,nan,nan,건설산업진흥사업,1711009328,미래창조과학부,한국건설기술연구원,출연연구소,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,기타 건설/교통,기타,2953329757,2953329757,20130101,20131231
2013,PTO-2013-0025661375,특허,실리콘 집적가능한 게르마늄 기반의 높은 정공이동도를 갖는 트랜지스터,10-2013-0147924,nan,서울대학교산학협력단 외 1개 기관;,"H01L 29/778,H01L 21/335",대한민국,nan,nan,nan,초저전력 초소형 나노소자 및 재구성 가능 3차원 집적 시스템,1711004089,미래창조과학부,서울대학교,대학,집적회로기술,반도체소자/시스템,기초연구,410000000,410000000,20130901,20140831
2013,PTO-2013-0025676413,특허,용도지역을 이용한 노풍도 산정 장치 및 방법,10-2013-0019316,nan,경북대학교 산학협력단;,G16C 10/00,대한민국,nan,nan,nan,GIS를 활용한 BIM기반 강구조물의 직접설계시스템 개발,1345168475,교육과학기술부,경북대학교,대학,기타 정보기술,시설물 설계/해석기술,개발연구,59944000,59944000,20120901,20130831
2013,PTO-2013-0025661466,특허,저항 변화를 기반으로 한 나노 스케일의 전자기계적 구조의 스위치 소자,10-2013-0077821,nan,서울대학교 산학협력단;,"H01L 45/00,H01H 59/00",대한민국,nan,nan,nan,초저전력 초소형 나노소자 및 재구성 가능 3차원 집적 시스템,1711004089,미래창조과학부,서울대학교,대학,집적회로기술,반도체소자/시스템,기초연구,410000000,410000000,20130901,20140831
2013,PTO-2013-0025662847,특허,공통선로를 이용하여 시각동기신호를 송수신하는 원거리 시스템 및 상기 원거리 시스템에서의 시각동기방법,10-2013-0142682,nan,한국항공우주연구원;,G08C 15/06,대한민국,nan,nan,nan,재난 예방 및 국민안전제고를 위한 위성 기반 위치 추적 기술 연구,1711002697,미래창조과학부,한국항공우주연구원,출연연구소,기타 위성기술,재난정보관리,응용연구,1133000000,1133000000,20130101,20131231
2013,PTO-2013-0025662828,특허,CSM 기반 충돌위험 분석 시스템,10-2013-0128504,nan,한국항공우주연구원;,G16C 10/00,대한민국,nan,nan,nan,우주파편 충돌위험 종합관리시스템/우주파편 제거시스템 연구(NAP),1711002698,미래창조과학부,한국항공우주연구원,출연연구소,위성관제기술,인공위성,기초연구,381000000,381000000,20130101,20131231
2013,PTO-2013-0025650463,특허,인터류킨-33을 포함하는 의약조성물,10-2013-0035353,nan,울산대학교 산학협력단;,"A61K 38/20,A61K 48/00,A61K 35/28",대한민국,nan,nan,nan,암 발생 및 내성 기전 연구,9991000593,교육부,울산대학교,대학,바이오신약 개발기술,기타 생명과학,기초연구,619000000,889000000,20130901,20140831
2013,PTO-2013-0025650884,특허,"촉매, 이를 이용한 전극 및 해당 촉매를 이용한 건식 개질 방법",10-2013-0133251,nan,한국과학기술연구원;,"B01J 23/58,H01M 4/86",대한민국,nan,nan,nan,대체 연료를 사용하는 고온 연료전지용 장수명 및 가격저감화 구성요소 재료 연구,1711001110,미래창조과학부,한국과학기술연구원,출연연구소,연료전지기술,신재생에너지,기초연구,462000000,462000000,20130701,20140731
2013,PTO-2013-0025661183,특허,금속산화물 반도체 나노섬유와 이중 촉매를 이용한 가스 센서용 부재 및 그 제조 방법,10-2013-0055408,nan,한국과학기술원;,"G01N 27/12,B82B 3/00",대한민국,nan,nan,nan,"환경, 구조물 및 동작 센서",1711002402,미래창조과학부,한국과학기술원,대학,나노전자 소자기술,나노/마이크로 기계시스템,기초연구,900000000,900000000,20130901,20140831
2013,PTO-2013-0025654830,특허,"그래핀 양자점 또는 산화그래핀 양자점을 포함하는 MRI 조영제, 및 그 제조방법",10-2013-0048447,nan,"그래핀스퀘어(주),서울대학교산학협력단;","A61K 49/00,A61K 49/18,B82Y 15/00",대한민국,nan,nan,nan,분자제어를 통한 기능성 유/무기 소재 및 유연 전자 소자 개발,1711005947,미래창조과학부,한국화학연구원,출연연구소,기타 나노소재기술,기타 재료,응용연구,1217000000,1217000000,20130701,20140630
2013,PTO-2013-0025651456,특허,무손실 이미지 압축 및 복원 방법과 이를 수행하는 장치,10-2013-0057873,nan,세종대학교산학협력단;,"H04N 1/417,H04N 19/91,H04N 19/86,H04N 19/176,H04N 19/186",대한민국,nan,nan,nan,Dynamic scene에 대한 실시간 ray tracing을 지원하는 그래픽 프로세서를 위한 kd-tree build 하드웨어 구조 설계,9991005014,교육부,세종대학교,대학,집적회로기술,SoC,기초연구,56400000,56400000,20130501,20140430
2013,PTO-2013-0025651383,특허,"열전 소자 재료, 그 제조 방법, 및 그를 포함하는 열전 소자 장치",10-2013-0068811,nan,공주대학교 산학협력단;,"H01L 35/14,H01L 35/34,H01L 35/18,H01L 35/16,H01L 35/32",대한민국,nan,nan,nan,나노구조 복합분말 제조기술에 의한 고효율 열전소자 기술개발,9991005341,교육부,공주대학교,대학,"나노소재기술(나노분말소재, 광학용 나노소재, 고기능 시너지 소재, 촉매·환경·기능소재에 중점)",소성가공/분말,기초연구,60630000,60630000,20130501,20140430
