성과연도,성과고유번호,성과구분,성과명,전담기관 등록(기탁)번호,저널명 OR 성과명(영문) 등,저자 OR 저작자 등,IPC OR 등록기관 등,국내외구분 OR 제조사 등,초록(국문),초록(영문),키워드,유발과제명,과제고유번호,부처명,과제수행기관,연구수행주체,6T분류,과학기술표준분류
2013,PTR-2013-0025656076,특허,튜브구조의 나노섬유 제조방법,10-1247370-0000,nan,한국세라믹기술원;,"D01D 5/34,D01D 5/00,D01D 10/02,D01F 1/10",대한민국,nan,nan,nan,요업기술원,1415095753,지식경제부,요업기술원,출연연구소,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,재료
2013,PTO-2013-0025657664,특허,그래핀 옥사이드를 포함하는 전자파 흡수용 필름 및 이의 제조방법,10-2013-0050896,nan,한국기계연구원;,"H05K 9/00,C08J 5/18,C08K 7/06",대한민국,nan,nan,nan,선택적 표면 기능화를 통한 edge 조립형 graphene sheet 제조 및 복합화 기술연구,1711008521,미래창조과학부,재료연구소,출연연구소,"나노소재기술(나노분말소재, 광학용 나노소재, 고기능 시너지 소재, 촉매·환경·기능소재에 중점)",나노화학공정기술
2013,PTR-2013-0025657597,특허,WO3 버퍼층을 포함하는 박막형 태양전지,10-1326539-0000,nan,한국기계연구원;,"H01L 31/0445,H01L 31/077",대한민국,nan,nan,nan,대면적 실리콘 박막태양전지 핵심소재 공정개발 및 평가 기반 구축,1711008502,미래창조과학부,재료연구소,출연연구소,에너지소재 기술,열/표면처리
2013,PTR-2013-0025657577,특허,양자점 복합체 및 이의 제조 방법,10-1324256-0000,nan,한국기계연구원;,"C09K 11/00,B01J 19/10",대한민국,nan,nan,nan,습식공정 기반 고효율 Hybrid 광활성 핵심소재기술 개발,1711008501,미래창조과학부,재료연구소,출연연구소,"나노소재기술(나노분말소재, 광학용 나노소재, 고기능 시너지 소재, 촉매·환경·기능소재에 중점)",태양광
2013,PTR-2013-0025657570,특허,전주 마스터 및 이의 제조방법,10-1253267-0000,nan,한국기계연구원;,"C25D 1/10,C25D 1/08,B32B 15/02,B32B 3/26,C23C 18/06",대한민국,nan,nan,nan,습식공정 기반 고효율 Hybrid 광활성 핵심소재기술 개발,1711008501,미래창조과학부,재료연구소,출연연구소,"나노소재기술(나노분말소재, 광학용 나노소재, 고기능 시너지 소재, 촉매·환경·기능소재에 중점)",태양광
2013,PTR-2013-0025657565,특허,마그네슘 비활성화제 및 마그네슘 비활성화제를 이용한 마그네슘 합금의 제조방법,10-1223045-0000,nan,한국기계연구원;,"C22C 23/00,C22C 23/02,C22C 23/06,B22D 21/04",대한민국,nan,nan,nan,부식환경 대응 마그네슘 소재 개발,1711008500,미래창조과학부,재료연구소,출연연구소,환경친화형소재(Eco-material)개발기술,구조재료
2013,PTR-2013-0025657535,특허,In-Al-Zn-O 박막을 이용한 박막 트랜지스터 및 이의 제조방법,10-1299952-0000,nan,부산대학교;,"H01L 29/786,H01L 21/336,H01L 29/12",대한민국,nan,nan,nan,저투습저반사 산화물 보호막 제조 기술,1711008495,미래창조과학부,재료연구소,출연연구소,차세대디스플레이기술,디스플레이 부품/소재
2013,PTO-2013-0025662648,특허,섬유강화 복합재료 및 그 제조 방법,10-2013-0023410,nan,한국과학기술원;,"B32B 37/10,B32B 37/06,B32B 27/12,B32B 38/00",대한민국,nan,nan,nan,고생존성/확장성/자율성/은닉성을 갖는 대규모 복수 무인시스템 연구,1711005592,미래창조과학부,한국과학기술원,출연연구소,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,항공시스템 관련 S/W
2013,PTR-2013-0025656086,특허,황산마그네슘 단일 전구체를 이용한 염기성 황산마그네슘 화합물의 제조방법,10-1317675-0000,nan,한국세라믹기술원;㈜태진지엔에스;,C01F 5/40,대한민국,nan,nan,nan,한국세라믹기술원,1415111920,지식경제부,한국세라믹기술원,출연연구소,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,세라믹재료
2013,PTR-2013-0025496801,특허,사용자 단말의 위치 측정 방법,10-1234177-0000,nan,고려대학교 산학협력단;,G01S 5/04,대한민국,nan,nan,nan,기기간 통신에서 간섭제거를 통한 효율적 통신 방식에 관한 연구,1345213132,교육부,고려대학교,대학,4세대 이동통신,이동통신 시스템
2013,PTR-2013-0025656095,특허,"자기 발광 소자용 봉지재 및 봉지재 제조 방법, 그 봉지재를 이용한 자기 발광 소자 및 그의 제조 방법",10-1238738-0000,nan,한국세라믹기술원;,"H01L 33/56,H01L 33/50,H01L 33/44",대한민국,nan,nan,nan,한국세라믹기술원,1415111920,지식경제부,한국세라믹기술원,출연연구소,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,세라믹재료
2013,PTO-2013-0025659411,특허,업링크 주파수 제어 방법 및 이를 이용하는 단말 장치,10-2013-0112949,nan,한국전자통신연구원;,"H04B 7/01,H04L 27/00",대한민국,nan,nan,nan,이동 무선백홀 기반 고속 그룹이동체 모바일 핫스팟(MHN) 네트워크 기술 개발,1711008968,미래창조과학부,한국전자통신연구원,출연연구소,4세대 이동통신,이동통신 시스템
2013,PTR-2013-0025714728,특허,전자빔 드립 용해법을 이용한 고융점 금속의 초고순도 봉상형 잉곳의 제조방법,10-1342091-0000,nan,한국지질자원연구원;,"B22D 9/00,B22D 7/00",대한민국,nan,nan,nan,해외 금속광물 개발을 위한 활용기술 연구,1711009438,미래창조과학부,한국지질자원연구원,출연연구소,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,자원 활용
2013,PTR-2013-0025714721,특허,무인 자동 알칼리도 측정 시스템 및 방법,10-1334307-0000,nan,한국지질자원연구원;,"G01N 33/18,G01N 31/16",대한민국,nan,nan,nan,심지층을 활용한 CO2 지중저장 및 녹색에너지자원 확보기술 개발,1711009424,미래창조과학부,한국지질자원연구원,출연연구소,기타 에너지기술,지구물리학
2013,PTR-2013-0025714716,특허,"마그네타이트와 버네사이트의 입단 형태의 혼합물, 그 합성방법 및 그 혼합물을 이용한 수처리방법",10-1330997-0000,nan,한국지질자원연구원;,"B01J 20/02,B01J 20/32,C02F 1/28,C02F 1/62",대한민국,nan,nan,nan,광산개발에 따른 지질환경재해 확산제어 기술 개발,1711009423,미래창조과학부,한국지질자원연구원,출연연구소,자연환경·오염토양·지하수의 정화·복원기술,산사태발생 분석/예측
2013,PTR-2013-0025714708,특허,슬러리 환원법을 이용한 미세 니켈 분말 제조 장치 및 이를 이용한 MLCC용 미세 니켈 분말 제조 방법,10-1324527-0000,nan,한국지질자원연구원;,B22F 9/24,대한민국,nan,nan,nan,해외 금속광물 개발을 위한 활용기술 연구,1711009438,미래창조과학부,한국지질자원연구원,출연연구소,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,자원 활용
2013,PTR-2013-0025712143,특허,이중센서 자기차폐장치 및 이를 이용한 자기차폐방법,10-1303095-0000,nan,한국기초과학지원연구원;,"H05K 9/00,A61B 5/05",대한민국,nan,nan,nan,나노-바이오 융합 EM 영상기술 고도화,1345165340,교육과학기술부,한국기초과학지원연구원,출연연구소,나노 측정기술(100 nm이하),기타 재료
2013,PTR-2013-0025712137,특허,자외선 다이오드와 CEM을 이용한 질량분석기의 이온화원 획득장치,10-1319925-0000,nan,한국기초과학지원연구원;,"H01J 49/26,G01N 27/62",대한민국,nan,nan,nan,다목적첨단질량분석장치운영사업,1345165337,교육과학기술부,한국기초과학지원연구원,출연연구소,단백질체 연구,분석화학
2013,PTO-2013-0025702449,특허,기계적 필터를 구비한 무선 센서 장치 및 기계적 필터를 구비한 무선 센서 장치의 통신 수행 방법,10-2013-0048539,nan,한국철도기술연구원;,"H03H 9/46,H04B 1/40",대한민국,nan,nan,nan,철도시스템 미래형 무선 스마트 autonomous 센싱 기술,1711005528,미래창조과학부,한국철도기술연구원,출연연구소,기타 정보기술,자동차/철도차량
2013,PTO-2013-0025416913,특허,이산화탄소 액화 및 지중주입장치,10-2013-0103889,nan,한국기계연구원;,"F17C 7/04,F17C 9/02,F25J 1/00",대한민국,nan,nan,nan,저탄소 녹색성장을 위한 초임계 CO2 지중주입 시스템 개발,1711005706,미래창조과학부,한국지질자원연구원,출연연구소,대기오염물질 저감 및 제거기술,온실가스 처리
2013,PTO-2013-0025679377,특허,관성센서의 폴링방법,10-2013-0074543,nan,삼성전기(주);,"G01P 15/09,G01P 1/02,H01L 41/29,G01C 19/5712",대한민국,nan,nan,nan,3D 적층 패키징 기술을 이용하여 다기능 복합 단소자 모듈 개발,1415111327,지식경제부,㈜삼성전기,대기업,기타 정보기술,반도체소자/시스템
2013,PTO-2013-0025679584,특허,탄소나노튜브를 이용한 금속 나노와이어 및 그 제조방법,10-2013-0124427,nan,경희대학교산학협력단;,"B82B 3/00,C01B 32/158,C25D 3/02,B82Y 40/00",대한민국,nan,nan,nan,디스플레이부품소재 지역혁신센터,1415133578,산업통상자원부,경희대학교 산학협력단,대학,차세대디스플레이기술,기타 재료
